region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
448,114.135,22.675,0.057,0.018,0.173,0.084,0.071,0.035,0.167,0.05,0.049,0.098,0.06,0.053,0.036,0.049
449,114.145,22.675,0.048,0.034,0.236,0.065,0.09,0.0,0.151,0.07,0.056,0.095,0.015,0.047,0.027,0.066
450,113.905,22.685,0.0,0.0,0.0,0.0,0.0,0.954,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0
451,113.915,22.685,0.065,0.0,0.16,0.031,0.113,0.08,0.275,0.05,0.042,0.057,0.07,0.022,0.033,0.003
452,113.925,22.685,0.054,0.105,0.071,0.066,0.07,0.071,0.109,0.078,0.04,0.107,0.028,0.097,0.023,0.081
453,113.935,22.685,0.053,0.06,0.037,0.151,0.052,0.027,0.033,0.114,0.091,0.106,0.032,0.104,0.045,0.097
454,113.945,22.685,0.055,0.071,0.115,0.054,0.074,0.032,0.126,0.069,0.033,0.105,0.042,0.054,0.092,0.078
455,113.955,22.685,0.072,0.08,0.084,0.092,0.076,0.158,0.034,0.043,0.067,0.074,0.0,0.132,0.016,0.071
456,113.965,22.685,0.051,0.0,0.373,0.022,0.072,0.0,0.24,0.027,0.015,0.109,0.0,0.031,0.0,0.061
457,113.975,22.685,0.073,0.0,0.297,0.027,0.121,0.0,0.03,0.082,0.068,0.069,0.015,0.058,0.086,0.075
458,113.985,22.685,0.056,0.061,0.151,0.047,0.083,0.02,0.123,0.067,0.03,0.055,0.044,0.14,0.037,0.086
459,113.995,22.685,0.062,0.054,0.151,0.058,0.085,0.0,0.102,0.078,0.045,0.112,0.055,0.076,0.02,0.102
460,114.005,22.685,0.06,0.047,0.099,0.077,0.085,0.092,0.049,0.075,0.04,0.097,0.04,0.099,0.038,0.102
461,114.015,22.685,0.102,0.0,0.321,0.0,0.173,0.0,0.193,0.054,0.022,0.051,0.024,0.0,0.0,0.06
462,114.025,22.685,0.057,0.064,0.376,0.024,0.193,0.0,0.081,0.03,0.065,0.045,0.0,0.0,0.0,0.065
463,114.035,22.685,0.091,0.089,0.121,0.06,0.135,0.088,0.16,0.04,0.04,0.061,0.019,0.024,0.0,0.072
464,114.045,22.685,0.117,0.0,0.095,0.048,0.095,0.0,0.132,0.13,0.104,0.06,0.081,0.052,0.051,0.036
465,114.055,22.685,0.115,0.215,0.198,0.0,0.098,0.085,0.036,0.045,0.033,0.017,0.074,0.0,0.035,0.049
466,114.065,22.685,0.093,0.023,0.224,0.061,0.155,0.045,0.096,0.054,0.07,0.04,0.02,0.037,0.037,0.045
467,114.075,22.685,0.045,0.072,0.127,0.091,0.075,0.117,0.01,0.068,0.049,0.071,0.061,0.072,0.048,0.093
468,114.085,22.685,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.0
469,114.095,22.685,0.081,0.229,0.15,0.0,0.058,0.0,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,114.105,22.685,0.071,0.0,0.315,0.0,0.051,0.066,0.197,0.066,0.034,0.049,0.029,0.055,0.027,0.04
471,114.115,22.685,0.045,0.053,0.207,0.045,0.05,0.016,0.09,0.084,0.062,0.123,0.067,0.047,0.036,0.076
472,114.125,22.685,0.041,0.037,0.181,0.047,0.055,0.012,0.091,0.071,0.044,0.252,0.048,0.03,0.05,0.042
473,114.135,22.685,0.042,0.056,0.136,0.068,0.04,0.018,0.071,0.11,0.062,0.119,0.048,0.103,0.038,0.087
474,114.145,22.685,0.046,0.022,0.173,0.082,0.025,0.021,0.209,0.08,0.033,0.102,0.028,0.041,0.043,0.094
475,113.905,22.695,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,113.915,22.695,0.03,0.019,0.193,0.029,0.152,0.037,0.19,0.067,0.014,0.117,0.0,0.072,0.015,0.066
477,113.925,22.695,0.091,0.068,0.269,0.026,0.112,0.067,0.086,0.05,0.022,0.051,0.044,0.028,0.041,0.046
478,113.935,22.695,0.076,0.069,0.187,0.041,0.15,0.0,0.021,0.07,0.091,0.07,0.051,0.06,0.016,0.099
479,113.945,22.695,0.069,0.0,0.348,0.098,0.162,0.0,0.0,0.06,0.0,0.071,0.11,0.0,0.0,0.082
480,113.955,22.695,0.054,0.152,0.196,0.043,0.148,0.0,0.064,0.062,0.014,0.071,0.032,0.073,0.0,0.09
481,113.965,22.695,0.059,0.123,0.161,0.075,0.104,0.0,0.038,0.063,0.059,0.056,0.106,0.023,0.02,0.114
482,113.975,22.695,0.114,0.084,0.247,0.013,0.153,0.0,0.064,0.082,0.009,0.037,0.014,0.083,0.0,0.098
483,113.985,22.695,0.048,0.146,0.115,0.076,0.071,0.024,0.049,0.072,0.029,0.074,0.016,0.113,0.029,0.139
484,113.995,22.695,0.049,0.085,0.086,0.083,0.083,0.093,0.024,0.101,0.055,0.098,0.056,0.046,0.03,0.111
485,114.005,22.695,0.029,0.0,0.172,0.092,0.122,0.159,0.0,0.152,0.021,0.102,0.069,0.0,0.0,0.082
486,114.015,22.695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,114.025,22.695,0.059,0.188,0.055,0.08,0.09,0.041,0.062,0.075,0.027,0.087,0.071,0.046,0.034,0.086
488,114.035,22.695,0.079,0.12,0.071,0.057,0.071,0.0,0.207,0.062,0.056,0.045,0.06,0.077,0.04,0.054
489,114.045,22.695,0.066,0.034,0.074,0.074,0.058,0.033,0.057,0.111,0.071,0.124,0.087,0.033,0.068,0.108
490,114.055,22.695,0.078,0.017,0.082,0.093,0.101,0.0,0.081,0.1,0.142,0.04,0.164,0.019,0.056,0.025
491,114.065,22.695,0.093,0.047,0.176,0.06,0.06,0.031,0.08,0.055,0.081,0.036,0.135,0.061,0.013,0.073
492,114.075,22.695,0.08,0.112,0.077,0.057,0.132,0.147,0.047,0.088,0.038,0.081,0.0,0.062,0.0,0.078
493,114.085,22.695,0.064,0.017,0.116,0.058,0.073,0.033,0.308,0.056,0.039,0.066,0.044,0.009,0.069,0.049
494,114.095,22.695,0.031,0.049,0.28,0.047,0.081,0.145,0.124,0.079,0.038,0.065,0.0,0.0,0.0,0.062
495,114.105,22.695,0.033,0.076,0.12,0.109,0.025,0.0,0.093,0.096,0.055,0.094,0.055,0.09,0.042,0.111
496,114.115,22.695,0.041,0.063,0.08,0.101,0.062,0.023,0.118,0.081,0.102,0.097,0.039,0.1,0.009,0.084
497,114.125,22.695,0.036,0.082,0.027,0.123,0.052,0.028,0.028,0.104,0.06,0.155,0.041,0.116,0.035,0.112
498,114.135,22.695,0.032,0.033,0.053,0.145,0.053,0.052,0.094,0.081,0.107,0.095,0.045,0.061,0.09,0.06
499,114.145,22.695,0.048,0.081,0.037,0.082,0.054,0.0,0.057,0.091,0.199,0.061,0.184,0.074,0.0,0.032
